Sr. no.,Product Name,Price,Discount,MRP,Rating,Average Star,Product_Link,Website,Product Image Link
15,Dr. Morepen Multi Vitamin Women with Calcium & Herbal Extracts Tablet,₹549,45% off,₹999,36 ratings,4.5,https://www.1mg.com/otc/dr.-morepen-multi-vitamin-women-with-calcium-herbal-extracts-tablet-otc677339,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/xbehlueqxkselnxfeupr/dr.-morepen-multi-vitamin-women-with-calcium-herbal-extracts-tablet.jpg"
16,Zincovit Tablet,₹90,14% off,₹105,7139 ratings,4.5,https://www.1mg.com/otc/zincovit-tablet-otc111998,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ibcufhk27uqhpgy9kfcg/zincovit-tablet.jpg"
17,"Supradyn Daily Multivitamin Tablet with Essential Zinc, 12 Vitamins, 5 Trace Elements for Daily Immunity & Energy",₹51,7% off,₹54.9,2641 ratings,4.5,https://www.1mg.com/otc/supradyn-daily-multivitamin-tablet-with-essential-zinc-12-vitamins-5-trace-elements-for-daily-immunity-energy-otc657862,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/zaoniru9woncxf4acu5z/supradyn-daily-multivitamin-tablet-with-essential-zinc-12-vitamins-5-trace-elements-for-daily-immunity-energy.jpg"
18,Carbamide Forte Multivitamin with Probiotics & Ashwagandha Tablet,₹599,29% off,₹850,46 ratings,4.2,https://www.1mg.com/otc/carbamide-forte-multivitamin-with-probiotics-ashwagandha-tablet-otc693768,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/ba72noylxk35qgj2eg5x/carbamide-forte-multivitamin-with-probiotics-ashwagandha-tablet.jpg"
19,A to Z NS+ Tablet,₹125,11% off,₹141,550 ratings,4.6,https://www.1mg.com/otc/a-to-z-ns-tablet-otc747985,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/rbetoxazqzh3owohcceq/a-to-z-ns-tablet.jpg"
20,"Revital Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy",₹469,14% off,₹550,2850 ratings,4.5,https://www.1mg.com/otc/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy-otc325628,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/jmuuryvgit6mwwolt0ea/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy.jpg"
21,"Tata 1mg Senior 50+ Multivitamin & Multimineral Veg Tablet with Zinc, Vitamin C, Calcium and Vitamin D, Supports Immunity, Strength & Overall Health",₹397,55% off,₹895,782 ratings,4.4,https://www.1mg.com/otc/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health-otc555713,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/klpj2khvaphkvpqmchui/tata-1mg-senior-50-multivitamin-multimineral-veg-tablet-with-zinc-vitamin-c-calcium-and-vitamin-d-supports-immunity-strength-overall-health.jpg"
22,Neuherbs True Vitamin Multivitamin Tablet for Men and Women with Antioxidant & Herbs Blend Tablet,₹649,28% off,₹899,59 ratings,4.1,https://www.1mg.com/otc/neuherbs-true-vitamin-multivitamin-tablet-for-men-and-women-with-antioxidant-herbs-blend-tablet-otc575618,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/sqw5hcz291vua7utyqay/neuherbs-true-vitamin-multivitamin-tablet-for-men-and-women-with-antioxidant-herbs-blend-tablet.jpg"
23,"Revital Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy",₹279,10% off,₹310,2850 ratings,4.5,https://www.1mg.com/otc/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy-otc66303,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/m6j6dbcf8ht96zbfqjuf/revital-men-multivitamin-with-calcium-zinc-ginseng-for-immunity-strong-bones-energy.jpg"
24,Tata 1mg Vitamin B Complex Capsules,₹322,46% off,₹595,133 ratings,4.5,https://www.1mg.com/otc/tata-1mg-vitamin-b-complex-capsules-otc735432,1mg,"https://onemg.gumlet.io/images/q_auto,h_150,f_auto,c_fit,w_150/olumjmbboursowikpgh9/tata-1mg-vitamin-b-complex-capsules.jpg"
